2009-01-02,BBY,0.140
2009-01-02,BDN,0.300
2009-01-02,BNS,0.394
2009-01-02,CDORP,0.067
2009-01-02,CLI,0.640
2009-01-02,FAM,0.130
2009-01-02,FCT,0.066
2009-01-02,FHY,0.450
2009-01-02,FMNB,0.120
2009-01-02,FXA,0.216
2009-01-02,FXB,0.103
2009-01-02,FXC,0.068
2009-01-02,FXE,0.215
2009-01-02,FXS,0.145
2009-01-02,GCE,0.683
2009-01-02,IHC,0.025
2009-01-02,ITUB,0.031
2009-01-02,JPM,0.380
2009-01-02,KYN,0.500
2009-01-02,LAWS,0.200
2009-01-02,PKE,0.080
2009-01-02,PNBK,0.450
2009-01-02,PULB,0.095
2009-01-02,RTH,0.004
2009-01-02,SEIC,0.080
2009-01-02,SSD,0.100
2009-01-02,TD,0.249
2009-01-02,UBA,0.240
2009-01-02,UBP,0.218
2009-01-05,BBD,0.005
2009-01-05,CHMG,0.250
2009-01-05,CMCSA,0.063
2009-01-05,CMCSK,0.063
2009-01-05,CUBE,0.025
2009-01-05,GNTX,0.055
2009-01-05,GPS,0.085
2009-01-05,HEI,0.025
2009-01-05,HEI.A,0.025
2009-01-05,KRG,0.820
2009-01-05,NYMT,0.100
2009-01-05,RTH,0.005
2009-01-05,SSS,0.640
2009-01-05,ZF,0.336
2009-01-05,ZTR,0.132
2009-01-06,ABM,0.130
2009-01-06,ACE,0.270
2009-01-06,ACU,0.050
2009-01-06,CMC,0.120
2009-01-06,GLT,0.090
2009-01-06,IMKTA,0.165
2009-01-06,INGR,0.140
2009-01-06,STV,1.000
2009-01-06,WDFC,0.250
2009-01-07,ACFC,0.459
2009-01-07,ARII,0.030
2009-01-07,AXP,0.180
2009-01-07,BBT,0.470
2009-01-07,BBVA,0.225
2009-01-07,BRC,0.170
2009-01-07,CLC,0.090
2009-01-07,DGX,0.100
2009-01-07,DRI,0.200
2009-01-07,ETH,0.250
2009-01-07,FDEF,0.170
2009-01-07,FSBK,0.200
2009-01-07,JCP,0.200
2009-01-07,LBF,0.150
2009-01-07,LFL,0.310
2009-01-07,LNC,0.210
2009-01-07,MA,0.015
2009-01-07,MAS,0.207
2009-01-07,MON,0.240
2009-01-07,NECB,0.030
2009-01-07,OGE,0.178
2009-01-07,PFBX,0.300
2009-01-07,PGC,0.152
2009-01-07,ROP,0.083
2009-01-07,T,0.410
2009-01-07,VZ,0.431
2009-01-07,WGL,0.355
2009-01-08,AFB,0.066
2009-01-08,AKP,0.062
2009-01-08,AWF,0.093
2009-01-08,BYFC,0.050
2009-01-08,CCZ,0.392
2009-01-08,CEV,0.057
2009-01-08,EBF,0.155
2009-01-08,EMI,0.052
2009-01-08,EVF,0.043
2009-01-08,EVJ,0.056
2009-01-08,EVN,0.070
2009-01-08,EVO,0.055
2009-01-08,EVP,0.057
2009-01-08,EVV,0.108
2009-01-08,EVY,0.062
2009-01-08,FORTY,2.270
2009-01-08,GIS,0.215
2009-01-08,GROW,0.020
2009-01-08,HIFS,0.430
2009-01-08,HPF,0.155
2009-01-08,HPI,0.155
2009-01-08,HPS,0.132
2009-01-08,HTD,0.140
2009-01-08,LGI,0.104
2009-01-08,LOR,0.117
2009-01-08,MMV,0.056
2009-01-08,PBIP,0.053
2009-01-08,PBY,0.068
2009-01-08,PCM,0.070
2009-01-08,PCN,0.106
2009-01-08,PCQ,0.077
2009-01-08,PDT,0.055
2009-01-08,PFL,0.110
2009-01-08,PGP,0.183
2009-01-08,PHK,0.122
2009-01-08,PKO,0.177
2009-01-08,PTY,0.115
2009-01-08,RCS,0.065
2009-01-08,UVV,0.460
2009-01-08,WERN,0.050
