1976-01-02,AA,39.00,148800
1976-01-05,AA,41.12,721600
1976-01-06,AA,42.25,1100800
1976-01-07,AA,42.75,998400
1976-01-08,AA,42.25,878400
1976-01-09,AA,42.25,592000
1976-01-12,AA,43.50,571200
1976-01-13,AA,43.62,2660800
1976-01-14,AA,45.75,691200
1976-01-15,AA,45.50,1092800
1976-01-16,AA,46.12,1328000
1976-01-19,AA,44.75,1780800
1976-01-20,AA,43.62,1332800
1976-01-21,AA,42.50,1308800
1976-01-22,AA,42.50,590400
1976-01-23,AA,44.38,878400
1976-01-26,AA,44.12,891200
1976-01-27,AA,44.00,894400
1976-01-28,AA,43.25,716800
1976-01-29,AA,44.25,827200
1976-01-30,AA,45.75,816000
1976-02-02,AA,45.25,891200
1976-02-03,AA,45.62,576000
1976-02-04,AA,46.00,355200
1976-02-05,AA,45.00,632000
1976-02-06,AA,44.38,435200
1976-02-09,AA,44.50,280000
1976-02-10,AA,44.88,356800
1976-02-11,AA,46.00,678400
1976-02-12,AA,46.00,1377600
1976-02-13,AA,46.50,1305600
1976-02-17,AA,46.88,502400
1976-02-18,AA,48.50,776000
1976-02-19,AA,49.00,601600
1976-02-20,AA,49.62,1406400
1976-02-23,AA,49.62,897600
1976-02-24,AA,49.25,580800
1976-02-25,AA,49.50,267200
1976-02-26,AA,49.25,830400
1976-02-27,AA,47.25,619200
1976-03-01,AA,47.38,358400
1976-03-02,AA,48.75,708800
1976-03-03,AA,48.00,548800
1976-03-04,AA,47.25,368000
1976-03-05,AA,47.50,523200
1976-03-08,AA,48.75,313600
1976-03-09,AA,50.00,1672000
1976-03-10,AA,50.00,627200
1976-03-11,AA,50.62,1505600
1976-03-12,AA,50.00,876800
1976-03-15,AA,48.62,262400
1976-03-16,AA,48.50,630400
1976-03-17,AA,48.38,1179200
1976-03-18,AA,47.62,288000
1976-03-19,AA,47.88,209600
1976-03-22,AA,47.62,470400
1976-03-23,AA,48.25,240000
1976-03-24,AA,49.50,2134400
1976-03-25,AA,49.50,1395200
1976-03-26,AA,49.38,473600
1976-03-29,AA,48.75,244800
1976-03-30,AA,48.62,777600
1976-03-31,AA,48.50,446400
1976-04-01,AA,48.00,608000
1976-04-02,AA,46.12,712000
1976-04-05,AA,47.00,464000
1976-04-06,AA,47.50,521600
1976-04-07,AA,47.00,753600
1976-04-08,AA,46.50,992000
1976-04-09,AA,46.38,401600
1976-04-12,AA,47.00,585600
1976-04-13,AA,48.00,822400
1976-04-14,AA,46.50,609600
1976-04-15,AA,47.75,675200
1976-04-19,AA,49.50,1158400
1976-04-20,AA,52.00,1236800
1976-04-21,AA,52.50,1851200
1976-04-22,AA,52.50,1166400
1976-04-23,AA,52.12,720000
1976-04-26,AA,52.12,492800
1976-04-27,AA,52.25,856000
1976-04-28,AA,52.50,760000
1976-04-29,AA,52.62,417600
1976-04-30,AA,51.38,249600
1976-05-03,AA,50.50,625600
1976-05-04,AA,51.62,484800
1976-05-05,AA,51.38,409600
1976-05-06,AA,51.25,723200
1976-05-07,AA,51.50,894400
1976-05-10,AA,52.00,838400
1976-05-11,AA,52.12,873600
1976-05-12,AA,52.88,596800
1976-05-13,AA,53.62,1118400
1976-05-14,AA,53.38,892800
1976-05-17,AA,53.00,860800
1976-05-18,AA,53.75,907200
1976-05-19,AA,54.62,910400
1976-05-20,AA,55.50,1155200
1976-05-21,AA,54.88,606400
1976-05-24,AA,54.00,288000
1976-05-25,AA,53.00,1347200
1976-05-26,AA,53.00,521600
1976-05-27,AA,52.88,548800
1976-05-28,AA,52.62,291200
1976-06-01,AA,52.50,281600
1976-06-02,AA,53.00,926400
1976-06-03,AA,54.00,3011200
1976-06-04,AA,53.75,1400000
1976-06-07,AA,54.12,537600
1976-06-08,AA,54.62,844800
1976-06-09,AA,54.50,521600
1976-06-10,AA,55.12,547200
1976-06-11,AA,56.50,870400
1976-06-14,AA,58.00,748800
1976-06-15,AA,57.00,870400
1976-06-16,AA,57.00,436800
1976-06-17,AA,57.50,1084800
1976-06-18,AA,57.50,1152000
1976-06-21,AA,57.12,1513600
1976-06-22,AA,56.88,825600
1976-06-23,AA,57.12,1328000
1976-06-24,AA,57.00,624000
1976-06-25,AA,56.88,393600
1976-06-28,AA,56.50,1225600
1976-06-29,AA,56.88,1150400
1976-06-30,AA,56.50,747200
1976-07-01,AA,56.38,192000
1976-07-02,AA,54.75,838400
1976-07-06,AA,54.25,484800
1976-07-07,AA,53.88,931200
1976-07-08,AA,54.62,712000
1976-07-09,AA,56.50,888000
1976-07-12,AA,57.25,1099200
1976-07-13,AA,57.12,635200
1976-07-14,AA,57.00,945600
1976-07-15,AA,56.75,507200
1976-07-16,AA,56.25,276800
1976-07-19,AA,56.38,200000
1976-07-20,AA,56.12,212800
1976-07-21,AA,56.12,283200
1976-07-22,AA,55.62,292800
1976-07-23,AA,55.88,248000
1976-07-26,AA,55.62,104000
1976-07-27,AA,54.25,404800
1976-07-28,AA,54.38,537600
1976-07-29,AA,54.75,257600
1976-07-30,AA,55.12,1921600
1976-08-02,AA,55.38,812800
1976-08-03,AA,55.50,558400
1976-08-04,AA,56.50,1752000
1976-08-05,AA,56.88,579200
1976-08-06,AA,57.12,640000
1976-08-09,AA,56.88,633600
1976-08-10,AA,57.50,764800
1976-08-11,AA,58.25,910400
1976-08-12,AA,58.00,1099200
1976-08-13,AA,57.75,620800
1976-08-16,AA,57.75,798400
1976-08-17,AA,58.00,1115200
1976-08-18,AA,58.00,969600
1976-08-19,AA,57.00,1160000
1976-08-20,AA,57.00,536000
1976-08-23,AA,56.88,320000
1976-08-24,AA,57.00,379200
1976-08-25,AA,56.50,713600
1976-08-26,AA,55.88,289600
1976-08-27,AA,55.50,243200
1976-08-30,AA,55.75,272000
1976-08-31,AA,56.62,243200
1976-09-01,AA,57.25,462400
